r,z_peak
20.0,19.000001867630804
20.0,19.00000180406143
20.0,19.000001964764216
20.0,19.000002131468566
20.0,19.000002298813286
20.0,19.000002466966176
20.0,19.000002848749283
20.0,19.00000293632232
20.0,19.000002943305706
20.0,19.000002927244807
20.0,19.000002883832188
20.0,19.000002815284855
20.0,19.000002723240947
20.0,19.000002126743816
20.0,19.00000155920285
20.0,19.000001711621845
20.0,19.00000187807616
20.0,19.00000204892774
20.0,19.00000221990747
20.0,19.00000239031263
20.0,19.00000279094311
20.0,19.000002923114593
20.0,19.000002947997185
20.0,19.000002949585316
20.0,19.000002922584255
20.0,19.000002867635324
20.0,19.000002787887535
20.0,19.000002684121366
20.0,19.00000202673519
20.0,19.00000166235031
20.0,19.000001818828277
20.0,19.00000198534891
20.0,19.000002153914544
20.0,19.000002322569877
20.0,19.00000249175485
20.0,19.000002867383287
20.0,19.000002940785674
20.0,19.000002941307105
20.0,19.00000291902006
20.0,19.000002869783962
20.0,19.000002796057164
20.0,19.000002698676678
20.100334448160535,19.100337296918255
20.100334448160535,19.10033711659961
20.100334448160535,19.100336259717377
20.100334448160535,19.100336130820445
20.100334448160535,19.100336412970165
20.100334448160535,19.100336678802186
20.100334448160535,19.100336923065047
20.100334448160535,19.10033737131633
20.100334448160535,19.100337477933145
20.100334448160535,19.100337463997384
20.100334448160535,19.100337407329615
20.100334448160535,19.100337309879777
20.100334448160535,19.100337178010182
20.100334448160535,19.10033645917129
20.100334448160535,19.10033624892422
20.100334448160535,19.10033644447024
20.100334448160535,19.100336644557714
20.100334448160535,19.10033684293546
20.100334448160535,19.10033727323101
20.100334448160535,19.10033742065417
20.100334448160535,19.100337444729693
20.100334448160535,19.100337434588234
20.100334448160535,19.10033738506489
20.100334448160535,19.100337299289766
20.100334448160535,19.10033718080778
20.100334448160535,19.100336493246186
20.100334448160535,19.10033619754806
20.100334448160535,19.100336388052177
20.100334448160535,19.100336585659143
20.100334448160535,19.10033678273245
20.100334448160535,19.10033697874922
20.100334448160535,19.100337374912975
20.100334448160535,19.100337439515453
20.100334448160535,19.10033742518557
20.100334448160535,19.100337378917242
20.100334448160535,19.10033729758713
20.100334448160535,19.100337184050886
20.100334448160535,19.10033651007617
20.100334448160535,19.10033617512565
20.100334448160535,19.1003363638372
20.100334448160535,19.100336560712556
20.20066889632107,19.20067084605037
